Bounty ID,Type,Source,Connector,Bounty Amount,Denomination,Bounty Status,Issue Link
4996,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/4996
4962,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/4962
4465,Bug: P2,Foundation,,"50,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/4465
4380,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/4380
3376,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/3376
4428,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/4428
5756,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5756
5497,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5497
6032,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6032
6006,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6006
6076,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6076
74,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/74
6226,Bug: P3,Foundation,,"30,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6226
6182,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6182
6163,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6163
6230,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6230
6170,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6170
5800,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5800
5896,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5896
6023,Bug: P2,Foundation,,"50,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/6023
6024,Bug: P2,Foundation,Coinbase,"450,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6024
6055,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6055
6298,Bug: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6298
5659,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5659
107,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/107
154,Bug: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/154
HIP-7,Improvement,Foundation,,"373,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/102
HIP-11,Improvement,Foundation,,"300,000",HBOT,Paid,
HIP-19,Improvement,Foundation,,"400,000",HBOT,Paid,
HIP-4: Curve,Improvement,Foundation,,"286,500",HBOT,Paid,https://github.com/hummingbot/gateway/issues/101
HIP-16,Improvement,Foundation,,"200,000",HBOT,Paid,
HIP-10,Improvement,Foundation,,"200,000",HBOT,Paid,
HIP-7: Perpetual,Improvement,Foundation,,"187,000",HBOT,Paid,
HIP-17,Improvement,Foundation,,"140,000",HBOT,Paid,
HIP-4: SushiSwap,Improvement,Foundation,,"600,000",HBOT,Paid,
HIP-3,Improvement,Foundation,,"800,000",HBOT,Paid,
HIP-9,Improvement,Foundation,,"20,000",HBOT,Paid,
HIP-12,Improvement,Foundation,,"900,000",HBOT,Paid,
5796,Improvement,Foundation,,"750,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5796
5787,Improvement,Foundation,,0,HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/5787
5794,Improvement,Foundation,,0,HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/5794
5788,Improvement,Foundation,,"750,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5788
5795,Improvement,Foundation,,"750,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5795
5793,Improvement,Foundation,,"500,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5793
5792,Improvement,Foundation,,"500,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5792
HIP-15,Improvement,Foundation,,"200,000",HBOT,Paid,
HIP-14,Improvement,Foundation,,"200,000",HBOT,Paid,
HIP-22,Improvement,Foundation,,"500,000",HBOT,Paid,
HIP-23,Improvement,Foundation,,"1,500,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/103
HIP-21,Improvement,Foundation,,"1,000,000",HBOT,Paid,
5791,Improvement,Foundation,,"500,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/5791
HIP-25,Improvement,Foundation,,"250,000",HBOT,Paid,
HIP-24,Improvement,Foundation,,"500,000",HBOT,Paid,
HIP-20,Improvement,Foundation,,"2,000,000",HBOT,Paid,
HIP-29,Improvement,Foundation,,"300,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/195
HIP-23,Improvement,Foundation,,"1,500,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/103
6295,Enhancement: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6295
6294,Enhancement: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6294
6293,Enhancement: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6293
6292,Enhancement: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6292
104,Refactor: P2,Foundation,,50000,HBOT,Paid,https://github.com/hummingbot/gateway/issues/104
112,Enhancement: P1,Foundation,,"100,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/112
6320,Enhancement: P1,Foundation,,"100,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6320
6321,Enhancement: P1,Foundation,,"100,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6321
6448,Enhancement: P1,Foundation,,"100,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6448
6209,Enhancement: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6209
148,Enhancement: P3,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/148
6767,Enhancement: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6767
8,Enhancement: P2,Foundation,,"50,000",HBOT,Paid,https://github.com/hummingbot/brokers/issues/8
6788,Enhancement: P1,Foundation,,"10,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6788
6660,Content,Foundation,Dexalot,"100,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6660
6661,Content,Foundation,Polkadex,"100,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6661
6769,Enhancement: P2,Foundation,Ethereum,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6769
6717,Bug: P3,Foundation,dYdX,"10,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/6717
6716,Bug: P2,Foundation,dYdX,"50,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/6716
6764,Bug: P3,Foundation,Kucoin,"50,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/6764
6818,Content,Foundation,Injective Helix,"100,000",HBOT,Assigned,https://github.com/hummingbot/hummingbot/issues/6818
6897,Refactor,Foundation,dYdX,"700,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6897
6898,Improvement,Foundation,Uniswap,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6898
6899,Improvement,Foundation,Uniswap,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6899
6900,Improvement,Foundation,Uniswap,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6900
HIP-36,New connector,Foundation,Okx,"700,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6775
HIP-35,Improvement,Foundation,Kraken,"600,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6751
6900,Improvement,Foundation,Uniswap,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6914
6867,Bug: P2,Foundation,Mexc,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6867
6912,Improvement,Foundation,PancakeSwap,"85,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6912
6955,Improvement,Foundation,Kucoin,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6955
6951,Improvement,Foundation,Ethereum,"50,000",HBOT,Closed,https://github.com/hummingbot/hummingbot/issues/6951
302,Improvement,Foundation,Ethereum,"167,000",HBOT,Paid,https://github.com/hummingbot/gateway/issues/302
6985,Bug: P2,Foundation,Binance,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6985
6974,Bug: P2,Foundation,Kucoin,"136,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6974
6948,Bug: P2,Foundation,Hyperliquid,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6948
7021,Improvement,Foundation,Okx,"100,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/7021
6913,Improvement,Foundation,XRP Ledger,"380,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/6913
7052,Bug: P3,Foundation,Kraken,"30,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/7052
7127,Bug: P2,Foundation,Okx,"50,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/7127
7020,Refactor,Foundation,Multiple,"606,612",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/7020
7123,New connector,Hashkey,Hashkey,,HBOT,Merged,https://github.com/hummingbot/hummingbot/issues/7123
7112,Improvement,Foundation,Docs,"100,000",HBOT,Paid,https://github.com/hummingbot/hummingbot/issues/7112
6897,Connector upgrade,dYdX,dYdX,4000,USDC,Paid,https://github.com/hummingbot/hummingbot/issues/6897
6897,Connector upgrade,dYdX,dYdX,3000,USDC,Paid,https://github.com/hummingbot/hummingbot/issues/6897
7211,Bug: P3,,Coinbase,"50,000",,Open,https://github.com/hummingbot/hummingbot/issues/7211
